Client ID,Age,Gender,Income Group,Average_CA_transaction_amount,No_of_products_held,Held Loan previously,Num Transactions,Loan Flag
193,53,1,10001-40000,0,2,0,34.0,0
194,47,1,10001-40000,376,3,0,0.0,0
195,53,1,100000+,0,3,0,24.0,0
196,27,0,10001-40000,440,3,0,38.0,0
197,55,1,100000+,2004,1,0,0.0,0
198,54,0,10001-40000,261,5,1,51.0,0
199,35,1,40001-60000,95,3,0,0.0,0
200,67,1,10001-40000,88,4,0,30.0,0
201,29,1,10001-40000,0,3,0,0.0,0
202,48,0,10001-40000,0,3,0,7.0,0
203,67,0,10001-40000,0,3,1,29.0,0
204,55,1,10001-40000,1625,4,0,0.0,0
205,41,1,60001-100000,544,5,0,0.0,0
206,60,1,60001-100000,0,5,0,0.0,0
207,61,0,100000+,0,5,1,3.0,0
208,46,1,10001-40000,158,4,0,77.0,0
209,48,1,40001-60000,82,4,0,0.0,0
210,70,0,10001-40000,0,1,0,0.0,0
211,66,1,10001-40000,69,2,1,4.0,0
212,69,1,10001-40000,219,3,0,86.0,0
213,43,1,60001-100000,0,3,0,30.0,0
214,62,1,100000+,314,1,0,26.0,0
215,64,0,60001-100000,0,2,0,62.0,0
216,44,1,10001-40000,53,2,0,7.0,0
217,20,1,10001-40000,0,1,1,0.0,0
218,64,1,60001-100000,100,3,1,39.0,0
219,66,0,10001-40000,1019,2,0,2.0,0
220,34,1,60001-100000,38,3,1,0.0,0
221,34,1,10001-40000,2,3,0,0.0,0
222,20,0,60001-100000,0,4,0,0.0,0
223,49,0,60001-100000,0,5,1,23.0,0
224,53,1,10001-40000,372,5,0,37.0,0
225,36,0,10001-40000,76,5,0,1.0,0
226,54,0,10001-40000,0,4,0,0.0,0
227,41,0,60001-100000,283,2,1,0.0,0
228,22,1,10001-40000,0,4,0,21.0,0
229,65,0,10001-40000,0,2,1,31.0,0
230,54,1,10001-40000,0,4,0,1.0,0
231,30,0,10001-40000,0,5,1,0.0,0
232,55,1,60001-100000,0,2,0,23.0,0
233,32,1,10001-40000,353,1,1,33.0,0
234,44,1,10001-40000,17,4,0,0.0,0
235,25,1,10001-40000,0,2,0,0.0,0
236,55,0,10001-40000,0,4,1,0.0,0
237,57,1,10001-40000,0,1,0,14.0,0
238,56,1,40001-60000,52,3,0,0.0,0
239,20,0,10001-40000,0,2,1,0.0,0
240,42,0,10001-40000,0,5,0,2.0,0
241,57,0,60001-100000,2523,5,1,37.0,1
242,38,0,60001-100000,0,2,0,11.0,0
243,65,1,10001-40000,0,2,1,37.0,0
244,52,1,60001-100000,1393,2,0,7.0,0
245,30,0,10001-40000,300,4,0,0.0,0
246,34,1,60001-100000,0,1,0,0.0,0
247,38,1,10001-40000,0,3,0,0.0,0
248,38,0,60001-100000,0,5,0,0.0,0
249,22,1,40001-60000,2667,4,0,34.0,0
250,45,1,40001-60000,0,1,1,92.0,1
251,26,0,10001-40000,1228,4,0,0.0,0
252,34,0,10001-40000,26,5,0,2.0,0
253,29,0,60001-100000,980,2,0,30.0,0
254,23,0,10001-40000,0,3,0,0.0,0
255,41,1,10001-40000,724,1,0,39.0,0
256,42,1,100000+,1426,1,0,20.0,0
257,22,0,60001-100000,0,1,0,0.0,0
258,69,0,10001-40000,0,5,1,39.0,0
259,54,1,10001-40000,422,4,0,4.0,0
260,27,0,10001-40000,46,4,0,8.0,0
261,67,1,10001-40000,262,2,0,5.0,0
262,27,0,10001-40000,48,3,0,50.0,0
263,23,1,10001-40000,24,1,0,35.0,0
264,22,0,10001-40000,1868,3,1,0.0,0
265,28,0,10001-40000,0,3,0,37.0,0
266,22,0,10001-40000,374,1,0,23.0,0
267,65,1,10001-40000,864,2,0,0.0,0
268,42,1,10001-40000,405,3,1,0.0,0
269,29,1,10001-40000,2653,4,1,51.0,1
270,44,0,10001-40000,0,5,0,0.0,0
271,64,1,10001-40000,53,4,0,35.0,0
272,57,0,10001-40000,237,3,0,0.0,0
273,35,0,10001-40000,723,1,0,0.0,0
274,51,1,60001-100000,0,3,1,35.0,0
275,22,1,60001-100000,9,3,0,38.0,0
276,55,0,40001-60000,109,5,0,14.0,0
277,45,0,10001-40000,0,2,0,25.0,0
278,48,0,10001-40000,0,5,1,31.0,0
279,46,0,10001-40000,61,3,1,37.0,0
280,52,1,10001-40000,183,2,0,4.0,0
281,48,0,60001-100000,0,2,0,1.0,0
282,20,0,60001-100000,0,3,0,3.0,0
283,67,1,10001-40000,367,4,1,10.0,0
284,45,1,10001-40000,0,1,0,0.0,0
285,65,1,10001-40000,321,3,0,42.0,0
286,47,1,10001-40000,184,3,0,1.0,0
287,49,1,10001-40000,2760,3,0,0.0,0
288,64,0,10001-40000,3,1,0,0.0,0
289,55,1,10001-40000,2758,4,0,32.0,0
290,51,1,10001-40000,169,3,0,37.0,0
291,29,0,60001-100000,1044,2,0,25.0,0
292,40,0,0-10000,0,5,1,49.0,0
293,26,0,40001-60000,398,1,1,19.0,0
294,64,0,10001-40000,0,2,0,69.0,0
295,43,1,100000+,5440,1,0,3.0,0
296,39,1,10001-40000,0,1,0,24.0,0
297,61,1,10001-40000,6006,4,0,0.0,0
298,66,0,10001-40000,308,1,1,2.0,0
299,70,0,10001-40000,0,2,0,1.0,0
300,27,1,100000+,0,1,0,0.0,0
301,61,1,100000+,2567,1,1,39.0,1
302,68,1,60001-100000,0,4,1,38.0,0
303,20,1,10001-40000,48,4,1,74.0,0
304,64,1,40001-60000,0,3,1,0.0,0
305,70,0,0-10000,17,2,0,28.0,0
306,56,0,40001-60000,0,1,0,15.0,0
307,22,0,10001-40000,0,1,0,0.0,0
308,55,1,60001-100000,1946,2,0,0.0,0
309,58,0,40001-60000,879,1,0,93.0,0
310,64,1,10001-40000,0,5,1,0.0,0
311,59,1,40001-60000,9,1,0,0.0,0
312,50,0,10001-40000,0,4,0,0.0,0
313,29,0,10001-40000,2473,4,0,0.0,0
314,21,0,40001-60000,0,2,0,0.0,0
315,22,0,10001-40000,31,2,1,0.0,0
316,45,1,10001-40000,369,3,1,48.0,0
317,51,0,40001-60000,0,4,0,69.0,0
318,35,1,10001-40000,0,2,0,12.0,0
319,64,1,60001-100000,31,5,0,0.0,0
320,45,1,40001-60000,101,3,0,27.0,0
321,40,1,10001-40000,142,3,0,27.0,0
322,56,0,10001-40000,0,4,0,2.0,0
323,37,1,10001-40000,1418,2,0,17.0,0
324,55,1,0-10000,313,3,0,29.0,0
325,41,1,10001-40000,1520,2,0,0.0,0
326,48,1,60001-100000,425,5,0,20.0,0
327,45,1,10001-40000,0,3,1,15.0,0
328,61,0,10001-40000,0,5,0,96.0,0
329,53,1,10001-40000,0,2,0,58.0,0
330,44,1,10001-40000,0,3,1,3.0,0
331,66,0,10001-40000,79,2,0,0.0,0
332,52,0,10001-40000,669,3,0,0.0,0
333,26,0,100000+,130,5,0,0.0,0
334,68,0,40001-60000,1056,5,0,24.0,0
335,63,1,10001-40000,0,5,0,9.0,0
336,47,1,10001-40000,0,2,0,0.0,0
337,67,1,10001-40000,1042,5,0,7.0,0
338,31,0,60001-100000,133,1,0,10.0,0
339,51,0,10001-40000,1015,2,0,31.0,0
340,20,0,10001-40000,0,3,0,34.0,0
341,25,1,10001-40000,0,2,0,6.0,0
342,27,1,60001-100000,1997,4,1,35.0,0
343,29,1,100000+,374,5,0,31.0,0
344,46,1,60001-100000,377,5,0,26.0,0
345,70,1,40001-60000,305,4,0,27.0,0
346,58,0,0-10000,2035,5,1,0.0,0
347,52,1,40001-60000,0,1,0,76.0,0
348,51,0,60001-100000,0,1,0,24.0,0
349,41,0,60001-100000,1198,5,0,10.0,0
350,60,1,10001-40000,0,3,0,0.0,0
351,58,0,10001-40000,0,1,0,34.0,0
352,29,1,60001-100000,48,1,1,33.0,0
353,67,1,10001-40000,0,2,0,78.0,0
354,33,1,100000+,3891,3,1,4.0,0
355,31,1,100000+,248,1,0,41.0,0
356,37,0,10001-40000,0,1,1,0.0,0
357,57,0,10001-40000,1141,5,0,10.0,0
358,46,1,40001-60000,349,5,0,29.0,0
359,64,1,60001-100000,0,5,0,99.0,0
360,33,0,40001-60000,0,1,0,0.0,0
361,20,1,40001-60000,1228,5,0,11.0,0
362,24,0,10001-40000,290,1,0,3.0,0
363,25,1,10001-40000,2257,4,0,23.0,0
364,34,1,10001-40000,0,1,1,0.0,0
365,62,1,40001-60000,236,2,0,0.0,0
366,44,1,60001-100000,265,2,0,38.0,0
367,26,0,100000+,0,4,0,18.0,0
368,52,1,60001-100000,0,2,0,47.0,0
369,69,1,10001-40000,0,3,0,37.0,0
370,35,0,60001-100000,1506,4,0,81.0,0
371,45,0,40001-60000,0,3,0,91.0,0
372,52,1,10001-40000,50,4,0,0.0,0
373,63,1,10001-40000,0,4,0,37.0,0
374,55,1,10001-40000,0,2,1,37.0,0
375,34,1,0-10000,0,5,1,6.0,0
376,26,0,10001-40000,40,3,1,0.0,0
377,31,1,100000+,1147,3,0,37.0,0
378,41,1,10001-40000,8,5,0,19.0,0
379,39,1,10001-40000,0,5,0,44.0,0
380,60,0,10001-40000,2567,2,1,0.0,0
381,66,1,10001-40000,0,5,0,1.0,0
382,30,0,10001-40000,0,4,0,0.0,0
383,24,1,60001-100000,0,4,0,46.0,0
384,20,1,10001-40000,0,1,0,0.0,0
385,58,1,10001-40000,2560,3,0,29.0,0
386,31,0,60001-100000,0,2,0,26.0,0
387,35,1,10001-40000,0,3,0,0.0,0
388,55,1,60001-100000,0,3,0,29.0,0
389,24,1,10001-40000,2347,1,0,4.0,0
390,66,1,10001-40000,0,1,0,1.0,0
391,28,0,60001-100000,246,5,0,24.0,0
392,32,0,10001-40000,176,2,0,0.0,0
393,59,1,10001-40000,28,5,1,0.0,0
394,37,0,40001-60000,660,1,0,27.0,0
395,56,0,60001-100000,43,5,0,2.0,0
396,48,1,40001-60000,0,4,0,0.0,0
397,69,0,10001-40000,218,5,1,3.0,0
398,22,0,10001-40000,0,3,1,19.0,0
399,66,1,40001-60000,0,1,0,73.0,0
400,60,0,10001-40000,0,5,1,0.0,0
401,27,0,10001-40000,0,1,0,86.0,0
402,53,1,40001-60000,72,4,0,12.0,0
403,36,0,40001-60000,88,4,1,24.0,0
404,23,0,10001-40000,0,2,0,0.0,0
405,45,1,40001-60000,62,5,0,10.0,0
406,60,0,60001-100000,0,5,1,0.0,0
407,55,1,10001-40000,0,4,1,48.0,0
408,49,0,60001-100000,0,2,1,33.0,0
409,70,0,40001-60000,0,1,1,9.0,0
410,64,0,100000+,0,3,0,65.0,0
411,49,1,10001-40000,987,5,1,0.0,0
412,47,0,60001-100000,0,1,1,5.0,0
413,24,1,0-10000,0,3,0,2.0,0
414,32,1,10001-40000,29,3,1,30.0,0
415,68,1,10001-40000,456,5,0,0.0,0
416,33,0,10001-40000,404,3,0,44.0,0
417,28,0,40001-60000,0,1,1,28.0,0
418,29,1,60001-100000,70,1,0,0.0,0
419,63,0,10001-40000,1240,2,0,0.0,0
420,53,1,10001-40000,0,2,0,11.0,0
421,32,1,60001-100000,127,2,1,0.0,0
422,54,0,10001-40000,154,4,1,13.0,0
423,58,1,40001-60000,0,5,0,42.0,0
424,69,0,10001-40000,0,5,0,6.0,0
425,45,1,100000+,13,5,0,10.0,0
426,49,0,100000+,0,5,0,0.0,0
427,36,1,60001-100000,1988,1,0,17.0,0
428,51,1,60001-100000,0,3,0,80.0,0
429,58,0,10001-40000,0,5,0,0.0,0
430,25,1,10001-40000,412,4,0,17.0,0
431,24,1,60001-100000,69,3,0,0.0,0
432,70,1,10001-40000,33,4,1,100.0,1
433,66,1,60001-100000,0,5,0,0.0,0
434,54,0,40001-60000,0,1,0,0.0,0
435,61,1,10001-40000,654,2,0,55.0,0
436,23,0,10001-40000,179,4,0,26.0,0
437,31,1,10001-40000,271,5,1,11.0,0
438,26,0,10001-40000,0,5,0,4.0,0
439,26,0,10001-40000,66,3,1,0.0,0
440,45,0,10001-40000,78,3,0,34.0,0
441,44,0,100000+,4,4,1,19.0,0
442,34,1,0-10000,1230,3,0,0.0,0
443,49,1,10001-40000,0,4,0,42.0,0
444,24,0,10001-40000,1744,4,0,0.0,0
445,45,1,10001-40000,152,1,0,0.0,0
446,31,0,10001-40000,0,5,1,5.0,0
447,43,1,10001-40000,283,1,0,0.0,0
448,51,1,10001-40000,31,4,1,0.0,0
449,60,0,10001-40000,0,5,0,25.0,0
450,37,1,10001-40000,0,3,0,27.0,0
451,49,1,10001-40000,55,3,0,2.0,0
452,31,0,60001-100000,0,4,0,0.0,0
453,28,0,100000+,0,3,0,0.0,0
454,69,0,10001-40000,0,1,0,1.0,0
455,52,1,10001-40000,391,1,0,0.0,0
456,70,1,100000+,111,2,0,0.0,0
457,50,0,100000+,0,1,0,30.0,0
458,26,1,10001-40000,386,2,1,16.0,0
459,20,1,10001-40000,14,1,0,29.0,0
460,23,1,40001-60000,0,5,0,18.0,0
461,21,1,40001-60000,49,2,0,23.0,0
462,41,0,60001-100000,358,5,1,36.0,0
463,52,1,40001-60000,0,3,0,16.0,0
464,33,1,40001-60000,0,5,0,66.0,0
465,66,0,100000+,0,3,0,10.0,0
466,34,1,10001-40000,0,5,0,0.0,0
467,38,1,40001-60000,1272,3,1,2.0,0
468,32,0,10001-40000,34,3,1,32.0,0
469,23,1,10001-40000,2937,3,0,29.0,0
470,44,0,10001-40000,1201,2,0,11.0,0
471,36,0,40001-60000,356,1,0,8.0,0
472,58,0,10001-40000,0,5,0,0.0,0
473,63,0,10001-40000,0,3,0,39.0,0
474,25,0,10001-40000,55,2,0,6.0,0
475,39,0,60001-100000,0,4,1,55.0,0
476,31,0,10001-40000,305,2,0,11.0,0
477,20,0,60001-100000,0,3,0,29.0,0
478,20,0,10001-40000,333,4,0,9.0,0
479,20,1,10001-40000,0,4,0,15.0,0
480,69,1,10001-40000,0,1,0,0.0,0
481,46,0,10001-40000,1633,5,0,96.0,0
482,45,0,10001-40000,120,2,0,32.0,0
483,67,1,10001-40000,542,2,0,0.0,0
484,51,1,100000+,0,2,0,0.0,0
485,36,1,100000+,0,1,1,23.0,0
486,40,1,40001-60000,66,1,0,18.0,0
487,53,1,0-10000,0,3,0,0.0,0
488,55,1,60001-100000,1942,2,1,1.0,0
489,45,1,40001-60000,0,5,0,0.0,0
490,20,0,10001-40000,2009,5,0,0.0,0
491,26,1,100000+,8016,4,1,10.0,1
492,37,0,10001-40000,0,2,0,0.0,0
493,61,1,60001-100000,93,4,0,32.0,0
494,60,0,100000+,1,1,1,0.0,0
495,46,0,10001-40000,358,4,0,29.0,0
496,54,1,10001-40000,57,4,1,0.0,0
497,28,1,100000+,1166,1,0,6.0,0
498,34,0,10001-40000,19,1,0,14.0,0
499,25,1,60001-100000,0,4,0,0.0,0
500,22,0,10001-40000,38,3,1,0.0,0
501,61,0,60001-100000,0,2,0,3.0,0
502,37,0,0-10000,0,3,0,0.0,0
503,44,1,60001-100000,121,4,0,54.0,0
504,62,0,10001-40000,0,5,0,0.0,0
505,69,0,10001-40000,0,1,0,0.0,0
506,48,1,100000+,4,2,1,5.0,0
507,27,0,10001-40000,0,3,0,0.0,0
508,41,1,10001-40000,83,4,0,32.0,0
509,36,1,60001-100000,178,2,1,40.0,0
510,59,1,10001-40000,72,5,0,2.0,0
511,52,1,0-10000,28,2,0,13.0,0
512,46,1,10001-40000,0,1,0,0.0,0
513,46,1,100000+,1092,2,0,82.0,0
514,23,1,10001-40000,4,5,0,21.0,0
515,50,0,10001-40000,2358,3,1,0.0,0
516,25,1,10001-40000,36,2,1,0.0,0
517,41,0,40001-60000,249,5,0,0.0,0
518,58,0,40001-60000,0,5,1,26.0,0
519,55,1,10001-40000,0,1,0,14.0,0
520,24,0,60001-100000,0,5,0,10.0,0
521,38,0,10001-40000,69,1,0,15.0,0
522,57,0,40001-60000,0,3,0,25.0,0
523,24,0,10001-40000,2,5,0,21.0,0
524,43,0,10001-40000,93,5,1,95.0,1
525,50,1,60001-100000,8,1,1,1.0,0
526,62,0,40001-60000,284,5,1,15.0,0
527,33,0,10001-40000,41,2,1,0.0,0
528,50,0,60001-100000,2676,3,0,0.0,0
529,57,1,40001-60000,0,5,0,5.0,0
530,41,1,10001-40000,63,5,0,24.0,0
531,66,1,60001-100000,21,2,0,25.0,0
532,51,1,10001-40000,0,5,0,0.0,0
533,42,0,60001-100000,0,3,0,0.0,0
534,63,0,10001-40000,0,5,0,28.0,0
535,53,0,10001-40000,61,4,1,64.0,0
536,23,0,60001-100000,0,3,0,5.0,0
537,68,1,10001-40000,0,5,0,0.0,0
538,69,0,10001-40000,0,3,0,38.0,0
539,21,0,10001-40000,0,2,0,0.0,0
540,46,0,40001-60000,1082,5,0,0.0,0
541,60,1,60001-100000,0,5,0,61.0,0
542,42,0,0-10000,2001,3,0,0.0,0
543,25,0,40001-60000,1946,1,0,10.0,0
544,34,0,60001-100000,97,2,0,27.0,0
545,27,0,10001-40000,3928,1,0,56.0,0
546,36,1,0-10000,40,3,1,35.0,0
547,70,1,10001-40000,0,5,0,39.0,0
548,48,1,10001-40000,1092,2,0,37.0,0
549,59,0,40001-60000,1901,1,0,15.0,0
550,35,1,40001-60000,111,4,1,39.0,0
551,51,1,100000+,0,5,0,30.0,0
552,67,1,100000+,1374,1,1,2.0,0
553,68,1,10001-40000,0,1,0,4.0,0
554,52,0,10001-40000,406,4,0,2.0,0
555,32,0,10001-40000,335,2,0,0.0,0
556,41,1,60001-100000,1494,2,1,0.0,0
557,42,0,40001-60000,0,4,0,94.0,0
558,41,0,60001-100000,0,1,0,0.0,0
559,40,1,40001-60000,0,2,0,2.0,0
560,38,0,60001-100000,0,3,0,6.0,0
561,38,0,10001-40000,477,3,0,35.0,0
562,41,0,60001-100000,0,5,0,6.0,0
563,51,1,10001-40000,1547,3,0,0.0,0
564,26,1,10001-40000,35,4,0,1.0,0
565,45,0,0-10000,0,2,0,0.0,0
566,21,1,10001-40000,2121,2,1,91.0,1
567,27,0,60001-100000,1829,1,0,40.0,0
568,52,0,10001-40000,96,2,0,0.0,0
569,49,1,40001-60000,377,3,0,0.0,0
570,27,1,60001-100000,0,3,0,29.0,0
571,27,1,100000+,0,1,1,0.0,0
572,63,0,40001-60000,0,4,0,0.0,0
573,27,1,60001-100000,2287,1,0,89.0,1
574,36,1,10001-40000,263,4,0,3.0,0
575,36,0,10001-40000,0,2,1,34.0,0
576,58,0,10001-40000,426,5,0,0.0,0
577,20,1,10001-40000,0,3,0,25.0,0
578,34,0,10001-40000,303,2,0,2.0,0
579,62,0,60001-100000,0,2,0,0.0,0
